Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Ecuador,South America,18113361,1062275,0.0,36019.0,0.0,1025747.0,0.0,509.0,759.0,58646,1989.0,3082403.0,170173.0,Americas
Panama,North America,4446964,1040230,0.0,8624.0,0.0,1030855.0,0.0,751.0,16.0,233919,1939.0,7697189.0,1730886.0,Americas
Uruguay,South America,3496016,1038774,0.0,7634.0,0.0,1030944.0,0.0,196.0,18.0,297131,2184.0,6114822.0,1749083.0,Americas
Mongolia,Asia,3378078,1010034,0.0,2179.0,0.0,1007147.0,671.0,708.0,192.0,298997,645.0,4030048.0,1193000.0,WesternPacific
Nepal,Asia,30225582,1003353,0.0,12031.0,0.0,991305.0,0.0,17.0,0.0,33195,398.0,6046867.0,200058.0,South-EastAsia
Belarus,Europe,9432800,994037,0.0,7118.0,0.0,985592.0,0.0,1327.0,0.0,105381,755.0,13646641.0,1446722.0,Europe
Latvia,Europe,1848837,977891,0.0,6344.0,0.0,971406.0,0.0,141.0,13.0,528922,3431.0,7875835.0,4259886.0,Europe
Saudi Arabia,Asia,35844909,841469,0.0,9646.0,0.0,827923.0,0.0,3900.0,66.0,23475,269.0,45481735.0,1268848.0,EasternMediterranean
Azerbaijan,Asia,10300205,831869,0.0,10279.0,0.0,821559.0,0.0,31.0,0.0,80762,998.0,7628898.0,740655.0,Europe
Paraguay,South America,7305843,810827,0.0,19934.0,0.0,0.0,0.0,0.0,7.0,110983,2729.0,2657506.0,363751.0,Americas
Bahrain,Asia,1783983,722069,0.0,1564.0,0.0,720371.0,0.0,134.0,2.0,404751,877.0,10859295.0,6087107.0,EasternMediterranean
Sri Lanka,Asia,21575842,672495,0.0,16876.0,0.0,655607.0,0.0,12.0,0.0,31169,782.0,6486117.0,300619.0,South-EastAsia
Kuwait,Asia,4380326,665942,0.0,2570.0,0.0,660237.0,0.0,3135.0,0.0,152030,587.0,8455743.0,1930391.0,EasternMediterranean
Dominican Republic,North America,11056370,661176,0.0,4384.0,0.0,644785.0,0.0,12007.0,4.0,59800,397.0,3740928.0,338350.0,Americas
Cyprus,Asia,1223387,660854,0.0,1364.0,0.0,659490.0,0.0,0.0,60.0,540184,1115.0,9640118.0,7879860.0,Europe
Myanmar,Asia,55227143,639379,0.0,19494.0,0.0,618363.0,0.0,1522.0,0.0,11577,353.0,10703628.0,193811.0,South-EastAsia
Palestine,Asia,5345541,621008,0.0,5404.0,0.0,615445.0,0.0,159.0,17.0,116173,1011.0,3078533.0,575907.0,EasternMediterranean
Moldova,Europe,4013171,620574,0.0,12118.0,0.0,504142.0,0.0,104314.0,49.0,154634,3020.0,3216305.0,801437.0,Europe
Estonia,Europe,1321910,619051,0.0,3001.0,0.0,524990.0,0.0,91060.0,2.0,468300,2270.0,3718876.0,2813260.0,Europe
Venezuela,South America,29266991,552695,0.0,5856.0,0.0,546537.0,0.0,302.0,31.0,18885,200.0,3359014.0,114771.0,Americas
Egypt,Africa,106156692,516023,0.0,24613.0,0.0,442182.0,0.0,49228.0,122.0,4861,232.0,3693367.0,34792.0,EasternMediterranean
Qatar,Asia,2979915,513995,0.0,690.0,0.0,512997.0,0.0,308.0,17.0,172486,232.0,4065369.0,1364257.0,EasternMediterranean
